time,ecg_signal
0.0,-0.176
0.002,-0.166
0.004,-0.156
0.006,-0.156
0.008,-0.146
0.01,-0.142
0.012,-0.142
0.014,-0.137
0.016,-0.137
0.018,-0.151
0.02,-0.161
0.022,-0.117
0.024,-0.088
0.026,-0.093
0.028,-0.083
0.03,-0.039
0.032,-0.024
0.034,0.0
0.036,0.083
0.038,0.19
0.04,0.293
0.042,0.386
0.044,0.449
0.046,0.498
0.048,0.571
0.05,0.62
0.052,0.576
0.054,0.459
0.056,0.346
0.058,0.215
0.06,0.083
0.062,-0.024
0.064,-0.137
0.066,-0.244
0.068,-0.317
0.07,-0.366
0.072,-0.395
0.074,-0.376
0.076,-0.327
0.078,-0.249
0.08,-0.195
0.082,-0.166
0.084,-0.156
0.086,-0.146
0.088,-0.132
0.09,-0.093
0.092,-0.073
0.094,-0.088
0.096,-0.078
0.098,-0.068
0.1,-0.068
0.102,-0.078
0.104,-0.093
0.106,-0.117
0.108,-0.122
0.11,-0.127
0.112,-0.112
0.114,-0.088
0.116,-0.088
0.118,-0.093
0.12,-0.093
0.122,-0.078
0.124,-0.083
0.126,-0.078
0.128,-0.073
0.13,-0.073
0.132,-0.073
0.134,-0.073
0.136,-0.073
0.138,-0.063
0.14,-0.073
0.142,-0.073
0.144,-0.073
0.146,-0.098
0.148,-0.098
0.15,-0.068
0.152,-0.068
0.154,-0.073
0.156,-0.078
0.158,-0.088
0.16,-0.093
0.162,-0.102
0.164,-0.102
0.166,-0.102
0.168,-0.093
0.17,-0.078
0.172,-0.078
0.174,-0.078
0.176,-0.078
0.178,-0.063
0.18,-0.063
0.182,-0.059
0.184,-0.044
0.186,-0.068
0.188,-0.059
0.19,-0.059
0.192,-0.059
0.194,-0.059
0.196,-0.059
0.198,-0.049
0.2,-0.049
0.202,-0.039
0.204,-0.049
0.206,-0.049
0.208,-0.029
0.21,-0.039
0.212,-0.044
0.214,-0.054
0.216,-0.059
0.218,-0.059
0.22,-0.049
0.222,-0.044
0.224,-0.044
0.226,-0.015
0.228,-0.015
0.23,-0.01
0.232,-0.01
0.234,-0.005
0.236,0.01
0.238,0.01
0.24,0.01
0.242,0.005
0.244,-0.015
0.246,-0.02
0.248,-0.02
0.25,-0.005
0.252,-0.005
0.254,0.0
0.256,0.0
0.258,-0.01
0.26,-0.01
0.262,0.0
0.264,0.0
0.266,0.015
0.268,0.034
0.27,0.059
0.272,0.073
0.274,0.078
0.276,0.102
0.278,0.107
0.28,0.107
0.282,0.093
0.284,0.112
0.286,0.122
0.288,0.117
0.29,0.127
0.292,0.127
0.294,0.127
0.296,0.146
0.298,0.166
0.3,0.156
0.302,0.151
0.304,0.151
0.306,0.151
0.308,0.151
0.31,0.151
0.312,0.161
0.314,0.151
0.316,0.161
0.318,0.161
0.32,0.176
0.322,0.185
0.324,0.171
0.326,0.171
0.328,0.171
0.33,0.181
0.332,0.195
0.334,0.195
0.336,0.205
0.338,0.215
0.34,0.205
0.342,0.195
0.344,0.19
0.346,0.185
